name,value,category
Median US Household Net Worth,192900,Household Percentiles
90th Percentile Household Net Worth,1920000,Household Percentiles
95th Percentile Household Net Worth,3780000,Household Percentiles
99th Percentile Household Net Worth,13670000,Household Percentiles
99.5th Percentile Household Net Worth,20150000,Household Percentiles
99.9th Percentile Household Net Worth,61830000,Household Percentiles
A Smaller Lesser-Known Fortune,100000000,Super-Rich Individuals
A $1 Billion Fortune ('just' a billionaire),1000000000,Super-Rich Individuals
A Top-Tier Billionaire (Gates/Buffett/Bezos/Zuckerberg),254500000000,Super-Rich Individuals
Elon Musk Net Worth,726000000000,Super-Rich Individuals
Microsoft Market Cap,3700000000000,Megacap Stocks
Alphabet (Google) Market Cap,4550000000000,Megacap Stocks
Apple Market Cap,4700000000000,Megacap Stocks
Nvidia Market Cap,5090000000000,Megacap Stocks
US Federal Education Budget,79000000000,National-Scale Benchmarks
Cost of Interstate Highway System (inflation adjusted),620000000000,National-Scale Benchmarks
US Annual Military Budget,1040000000000,National-Scale Benchmarks
Annual US Healthcare Spending,5700000000000,National-Scale Benchmarks
US National Debt,39390000000000,National-Scale Benchmarks
Total US Residential Real Estate Value (this app's data),41991062882012,National-Scale Benchmarks
Satoshi Nakamoto's Bitcoin Wallet (~1.1M BTC),71532956000,Curiosities
